ident,name,coordinates,iso_country,iata_code
01IS,William E. Koenig Airport,"-90.31819916, 39.01620102",US,
01J,Hilliard Airpark,"-81.90570068, 30.68630028",US,
01K,Caldwell Municipal Airport,"-97.58640289, 37.03609848",US,
01KS,Flying N Ranch Airport,"-97.00330353, 38.54059982",US,
01KY,Lourdes Hospital Heliport,"-88.64689636, 37.05170059",US,
01LA,Barham Airport,"-91.7736969, 32.63899994",US,
01LL,Schumaier Restricted Landing Area,"-89.46389771, 38.12580109",US,
01LS,Country Breeze Airport,"-91.07740021, 30.70599937",US,
01MA,Compaq Andover Heliport,"-71.18009949, 42.62509918",US,
01MD,Annapolis Seaplane Base,"-76.45600128, 38.99919891",US,
01ME,Saint Peter's Seaplane Base,"-68.50029755, 46.77890015",US,
01MI,Flow Through Terminal Heliport,"-83.67970276, 43.04949951",US,
01MN,Barnes Seaplane Base,"-92.55740356, 47.89960098",US,
01MO,Highway Patrol Troop C Headquarters Heliport,"-90.48429871, 38.64170074",US,
01MT,Crystal Lakes Resort Airport,"-114.8799973, 48.78910065",US,
01NC,Topsail Airpark,"-77.58139801, 34.47529984",US,
01NE,Detour Airport,"-100.6529999, 40.84360123",US,
01NH,Moore Airfield,"-72.08699799, 43.64450073",US,
01NJ,Albert Guido Memorial Heliport,"-74.13710022, 40.7417984",US,
01NM,Champion Ranch Airport,"-104.540278, 33.008611",US,
01NV,Lantana Ranch Airport,"-119.0270004, 38.76390076",US,
01NY,Vassar Hospital Heliport,"-73.94960022, 41.70009995",US,
01OI,Galion Community Hospital Heliport,"-82.8015976, 40.73059845",US,
01OK,Lawrence Airport,"-98.6364975, 35.29449844",US,
01OR,Red & White Flying Service Airport,"-121.0449982, 43.11930084",US,
01PA,Pine Heliport,"-80.05090332, 40.6556015",US,
01PN,Bierly(Personal Use) Airport,"-77.73889923, 40.93059921",US,
01PS,Nort's Resort Airport,"-76.02960205, 41.59590149",US,
01SC,York Airport,"-81.25279999, 35.03210068",US,
01TA,Thirty Thirty Matlock Office Center Heliport,"-97.11579895, 32.69419861",US,
01TE,Smith Field,"-96.4280014, 32.73759842",US,
01TN,Colonial Air Park,"-89.73059845, 34.9958992",US,
01TS,St Joseph Hospital Heliport,"-97.32450104, 32.72850037",US,
01TX,Mims Farm Ultralightport,"-96.87750244, 32.38759995",US,
01U,Duckwater Airport,"-115.6340027, 38.85160065",US,
01UT,La Sal Junction Airport,"-109.3960037, 38.30830002",US,
01VA,Pickles Airport,"-77.92500305, 39.125",US,
01WA,Willapa Harbor Heliport,"-123.8119965, 46.66320038",US,
01WI,Prehn Cranberry Company Airport,"-90.3891983, 44.00999832",US,
01WN,Whidbey General Hospital Heliport,"-122.6849976, 48.21340179",US,
01WT,Odyssey Heliport,"-122.210908, 47.518178",US,
01WY,Keyhole Airport,"-104.810997, 44.34719849",US,
01XA,Seton Medical Center Hays Heliport,"-97.853333, 30.007222",US,
01XS,Meadowood Ranch Heliport,"-95.74549866, 32.02019882",US,
02AK,Rustic Wilderness Airport,"-150.0980072, 61.87689972",US,
02AL,Bass Field,"-87.76439667, 30.37150002",US,
02AR,Three Rivers Airport,"-92.44441986, 34.82244492",US,
02AZ,Winchester Farm Airstrip,"-109.9369965, 32.37639999",US,
02CA,Swepi Beta Platform Ellen Heliport,"-118.1289978, 33.58250046",US,
02CD,Shannon Field,"-90.52400208, 34.12960052",US,
02CL,Conover Air Lodge Airport,"-119.0589981, 34.76110077",US,
02CO,Mc Cullough Airport,"-106.0469971, 37.6432991",US,
02CT,Strangers Point Heliport,"-72.44450378, 41.91960144",US,
02FA,Osborn Airfield,"-81.87480164, 28.52669907",US,
02FL,Cuchens Airport,"-86.123889, 30.642778",US,
02GA,Doug Bolton Field,"-83.42900085, 34.20259857",US,
02GE,Etowah Fields Airport,"-84.92440033, 34.1753006",US,
02HI,K3 Helipad Heliport,"-157.951004, 21.36199951",US,
02IA,Boone County Hospital Heliport,"-93.87799835, 42.05609894",US,
02ID,Morgan Ranch Airport,"-115.3050003, 44.55550003",US,
02II,King Ultralightport,"-86.21050262, 40.06230164",US,
02IN,Diamond P. Field,"-85.540802, 40.20890045",US,
02IS,Condell Medical Center Heliport,"-87.95729828, 42.27460098",US,
02KS,Jmj Landing Airport,"-96.05529785, 39.22219849",US,
02KY,Boone National Guard Heliport,"-84.89990234, 38.1833992",US,
02LA,La State Police Troop G Heliport,"-93.66020203, 32.53129959",US,
02LS,Windy Hill Heliport,"-91.91899872, 30.14830017",US,
02MA,Cuttyhunk Heliport,"-70.92700195, 41.41960144",US,
02ME,Old Acton Airfield,"-70.92939758, 43.53730011",US,
02MI,Fairplains Airpark,"-85.14849854, 43.15710068",US,
02MN,Greenbush Municipal Airport,"-96.19200134, 48.68330002",US,
02MO,Troy Airpark,"-91.03350067, 39.04999924",US,
02MS,Watts Field,"-90.84680176, 34.10010147",US,
02MT,Barrett Field,"-111.7419968, 47.23740005",US,
02MU,Timber Line Airpark,"-93.79740143, 36.65420151",US,
02NC,Race City Heliport,"-80.597778, 35.541111",US,
02NE,Benes Service Airport,"-96.90450287, 41.07450104",US,
02NH,Iroquois Landing Seaplane Base,"-71.21910095, 44.65710068",US,
02NJ,Penske Heliport,"-74.46710205, 40.55730057",US,
02NV,Paiute Meadows Airport,"-118.5979996, 41.30329895",US,
02NY,Hansen Heliport,"-75.65550232, 43.13259888",US,
02OH,Zimmerman Airport,"-83.08329773, 41.37639999",US,
02OI,Murtha Airport,"-80.56539917, 41.80199814",US,
02OK,Canon Heliport,"-97.52529907, 35.45840073",US,
02OR,Rowena Dell Airport,"-121.3160019, 45.68149948",US,
02P,Stottle Memorial Heliport,"-77.55660248, 40.40359879",US,
02PA,Lag Iii Heliport,"-79.76999664, 40.43830109",US,
02PN,Peco Berwyn Heliport,"-75.4552002, 40.06959915",US,
02PR,Cuylers Airport,"-66.36689758, 18.45330048",PR,
02PS,Hughes Ultralightport,"-77.2303009, 41.90060043",US,
02SC,Harpers Airport,"-81.22480011, 32.75849915",US,
02T,Wise River Airport,"-112.9820023, 45.76910019",US,
02TA,Matagorda Shore Facility Heliport,"-95.87380219, 28.72139931",US,
02TE,Baylor Medical Center Heliport,"-96.86419678, 32.395401",US,
02TN,Ellis Field,"-86.584198, 35.7806015",US,
02TS,Fwomc Heliport,"-97.37000275, 32.74760056",US,
02TX,The Palms At Kitty Hawk Airport,"-101.9228821, 33.37040329",US,
02UT,Lucin Airport,"-113.8430023, 41.36629868",US,
02VA,The Greenhouse Airport,"-77.85720062, 38.43569946",US,
02VG,Northstar Aviation Heliport,"-82.11669922, 36.63880157",US,
02WA,Cawleys South Prairie Airport,"-122.0940018, 47.15230179",US,
02WI,Beer Airport,"-92.65579987, 45.0318985",US,
02WN,Fowler Field,"-119.3190002, 48.74580002",US,
02XS,Seidel Ranch Airport,"-97.66280365, 30.14769936",US,
03AK,Joe Clouds Seaplane Base,"-151.132782, 60.72722244",US,
03AL,Jackson County Hospital Heliport,"-86.04720306, 34.66249847",US,
03AR,Hscmh Heliport,"-92.78849792, 34.35760117",US,
03AZ,Thompson International Aviation Airport,"-110.0839996, 31.4333992",US,
03CA,Grossmont Hospital Heliport,"-117.0059967, 32.77980042",US,
03CO,Kugel-Strong Airport,"-104.7440033, 40.21250153",US,
03FA,Lake Persimmon Airstrip,"-81.40809631, 27.35309982",US,
03FD,Tharpe Airport,"-85.73100281, 30.8288002",US,
03FL,Ranger Heliport,"-80.18730164, 26.68370056",US,
03I,Clarks Dream Strip,"-83.01820374, 39.64419937",US,
03IA,East Field,"-92.46130371, 41.58190155",US,
03ID,Flying Y Ranch Airport,"-116.5329971, 44.79430008",US,
03II,Davis Field Ultralightport,"-87.77890015, 37.9620018",US,
03IL,Wix Airport,"-87.8167038, 41.40230179",US,
03IN,Heinzman Airport,"-86.01249695, 40.18000031",US,
03IS,St Anthony's Hospital Heliport,"-90.17340088, 38.90499878",US,
03KS,Valley Grain Heliport,"-95.26409912, 39.86470032",US,
03KY,Flying H Farms Airport,"-87.54139709, 37.79169846",US,
03LA,Damien Heliport,"-91.12789917, 30.19960022",US,
03LS,Fmc Nr 1 Heliport,"-91.70800018, 32.1590004",US,
03M,Lakeside Marina Seaplane Base,"-69.88950348, 44.32089996",US,
03MA,Hadley Airport,"-72.55200195, 42.39310074",US,
03MD,Upper Chesapeake Medical Center Heliport,"-76.3266983, 39.52249908",US,
03ME,Maple Ridge Airport,"-70.62729645, 44.08420181",US,
03MI,Harold Miller Heliport,"-83.86219788, 43.55089951",US,
03MN,Nauerth Land Ranch Airport,"-95.22470093, 43.62519836",US,
03MO,Cahoochie Airport,"-93.13159943, 37.8844986",US,
03MS,Vicksburg Medical Center Heliport,"-90.8832016, 32.31880188",US,
03MT,Cascade Airport,"-111.7220001, 47.27080154",US,
03MU,Mc Donnell Airport,"-94.41249847, 38.49250031",US,
03N,Utirik Airport,"169.852005, 11.22200012",MH,UTK
03NC,Pilots Ridge Airport,"-77.90419769, 34.10430145",US,
03ND,Olafson Brothers Airport,"-97.82900238, 48.62639999",US,
03NE,Hyde Ranch Airport,"-99.33119965, 41.54639816",US,
03NH,Lorden Heliport,"-71.12439728, 42.81539917",US,
03NJ,At&T Heliport,"-74.41069794, 40.66870117",US,
03NV,Llama Ranch Airport,"-115.2979965, 40.58440018",US,
03NY,Talmage Field,"-72.71679688, 40.95840073",US,
03OH,Gibbs Field,"-83.01740265, 41.41839981",US,
03OI,Marymount Hospital Heliport,"-81.59980011, 41.42089844",US,
03OK,Sahoma Lake Airport,"-96.16139984, 36.04119873",US,
03OR,Powwatka Ridge Airport,"-117.4840012, 45.85540009",US,
03PA,Collegeville Heliport,"-75.46569824, 40.16289902",US,
03PN,M.P. Metals Heliport,"-76.180806, 41.066861",US,
03PS,Ziggy's Field,"-77.9056015, 40.84999847",US,
03S,Sandy River Airport,"-122.2289963, 45.40179825",US,
03SC,Seacoast Medical Center Heliport,"-78.66190338, 33.86500168",US,
03TA,Gay Hill Farm Airport,"-96.50019836, 30.26269913",US,
03TE,Barronena Ranch Airport,"-98.66950226, 27.49110031",US,
03TN,Eagles Landing Heliport,"-83.57939911, 35.92250061",US,
03TS,Shannon Medical Center Heliport,"-100.4380035, 31.4598999",US,
03TX,M D K Field,"-95.30719757, 29.58160019",US,
03UT,A Z Minerals Corporation Airport,"-109.9860001, 37.12080002",US,
03VA,Whipoorwill Springs Airport,"-77.57969666, 38.66460037",US,
03WA,Spangle Field,"-117.3720016, 47.40819931",US,
03WI,Zink Airport,"-88.88089752, 44.02750015",US,
03WN,Aerostone Ranch Airport,"-120.6699982, 45.875",US,
03XS,Creekside Airport,"-100.7539978, 31.31809998",US,
04AL,Anniston AHP (Anniston Army Depot),"-85.96720123, 33.62639999",US,
04AR,Saline Memorial Hospital Heliport,"-92.582901, 34.57400131",US,
04AZ,Chinle Airport,"-109.5510025, 36.15420151",US,
04CA,Gray Butte Field,"-117.6750031, 34.56389999",US,
04CL,Hunt's Sky Ranch Airport,"-116.4410019, 33.08169937",US,
04CT,Shingle Mill Heliport,"-73.05239868, 41.75510025",US,
04F,De Leon Municipal Airport,"-98.52529907, 32.09880066",US,
04FA,Richards Field,"-80.51509857, 25.55870056",US,
04FL,Cross Creek Farms Airport,"-81.22200012, 29.23940086",US,
04I,Columbus Southwest Airport,"-83.188797, 39.91120148",US,
04IA,Middlekoop Airport,"-92.05460358, 41.0882988",US,
04ID,Lanham Field,"-116.5370026, 43.87770081",US,
04II,Turkey Run Airport,"-84.99410248, 41.13059998",US,
04IL,Schertz Aerial Service - Hudson Airport,"-89.00700378, 40.63750076",US,
04IN,Lake Gage Seaplane Base,"-85.113056, 41.701389",US,
04IS,Van Gorder Airport,"-88.56900024, 40.17860031",US,
04KS,Robinson Industries Heliport,"-95.21970367, 38.97890091",US,
04KY,Natchez Trace Farm Airport,"-85.78939819, 37.13510132",US,
04LA,St James Heliport,"-90.702222, 30.051111",US,
04LL,Brunner Airport,"-88.28759766, 42.13610077",US,
04LS,La National Guard Heliport,"-91.1053009, 30.44610023",US,
04MA,Goddard Field (Airport),"-71.1391983, 42.80979919",US,
04MD,Chesapeake City Heliport,"-75.8214035, 39.51810074",US,
04ME,Beech Hill Airport,"-69.89389801, 44.66669846",US,
04MI,Rapids Airway Airport,"-84.62830353, 42.53450012",US,
04MN,Helblad Airport,"-94.68689728, 47.9858017",US,
04MO,Airpark Private Airport,"-91.45149994, 39.30120087",US,
04MS,Nick's Flying Service Inc Airport,"-90.83730316, 32.9396019",US,
04MT,Pluhar Airport,"-106.488095, 47.13749778",US,
04NC,Western Wake Medical Center Heliport,"-78.78220367, 35.73920059",US,
04NE,Mc Connell Field Airport,"-101.2990036, 41.15999985",US,
04NJ,Emmanuel Airport,"-75.23349762, 39.59680176",US,
04NV,Kingston Ranch Airport,"-115.6650009, 35.75550079",US,
04NY,Klaverack Airport,"-73.69619751, 42.26229858",US,
04OG,Teufel Heliport,"-123.085556, 45.530833",US,
04OH,Bossow Airport,"-81.10070038, 41.24769974",US,
04OK,Stillwater Medical Center Heliport,"-97.07949829, 36.11529922",US,
04OR,Collins Landing Strip,"-120.2009964, 44.74990082",US,
04PA,S & C Distribution Center Heliport,"-75.22879791, 39.87929916",US,
04PN,Strawbridge & Clothier Exton Heliport,"-75.63021, 40.0306619",US,
04SC,Emergency Helipad,"-82.60690308, 34.84059906",US,
04TA,Capitol National Bank Building Heliport,"-97.74469757, 30.27104167",US,
04TE,Veterans Affairs Medical Center Heliport,"-95.38739777, 29.70019913",US,
04TN,Hensley Airpark,"-82.67890167, 36.18330002",US,
04TS,Hummingbird Heliport,"-97.60610199, 30.55349922",US,
04TX,Pocock Airport,"-97.36889648, 31.73220062",US,
04UT,Navajo Mountain Airport,"-110.7949982, 37.00830078",US,
04V,Saguache Municipal Airport,"-106.1743889, 38.0990833",US,
04VA,Russell County Medical Center Heliport,"-82.078, 36.898",US,
04VG,Manquin Flight Park Ultralightport,"-77.21179962, 37.71440125",US,
04VT,Lightning Bolt Field Airport,"-72.26360321, 44.40110016",US,
04W,Field of Dreams Airport,"-92.895401, 46.02280045",US,
04WA,Ox Meadows Airport,"-117.4369965, 47.58179855",US,
04WI,Dutch Gap Airstrip,"-88.01670074, 42.52339935",US,
04WN,Stillwater Creek Airport,"-119.641667, 46.963889",US,
04WV,West Virginia Univ. Hosp. Inc. Gnd. Pad #2 Heliport,"-79.95611111, 39.65361111",US,
04XS,Napiers Heliport,"-97.14250183, 32.58209991",US,
05AK,Wasilla Creek Airpark,"-149.1880035, 61.66830063",US,
05AL,Allen Stagefield Army Heliport,"-85.64969635, 31.23119926",US,
05AR,Ozark Skies Airpark,"-93.57025, 36.000633",US,
05AZ,Yuma Regional Medical Center Heliport,"-114.6340027, 32.68280029",US,
05B,Van Buren Seaplane Base,"-67.93199921, 47.15890121",US,
05CA,Lost Hills Sheriff's Station Heliport,"-118.7139969, 34.13779831",US,
05CL,Pope Valley Airport,"-122.3909988, 38.6106987",US,
05CO,Rancho De Aereo Airport,"-104.9844228, 40.2149839",US,
05CT,O And G Heliport,"-73.11620331, 41.77370071",US,
05FA,Melanie's Airport,"-86.21829987, 30.91889954",US,
05FD,Aventura Heliport,"-80.1391983, 25.96089935",US,
05FL,Charlton Strip,"-81.40830231, 26.5230999",US,
05GA,Raju Airport,"-84.71440125, 32.07139969",US,
05IA,Spotts Field,"-93.06829834, 43.13750076",US,
05ID,Running Creek Ranch Airport,"-114.8359985, 45.91410065",US,
05II,Reichhart Airport,"-84.99720001, 41.02870178",US,
05IL,Classic Landings Airport,"-88.01670074, 41.15670013",US,
05IN,Cooper Airport,"-86.5042038, 39.64199829",US,
05IS,Hardy Airport,"-89.26399994, 39.72589874",US,
05KS,Darbro Field,"-95.959198, 37.26620102",US,
05KY,Cartersville Airport,"-84.40720367, 37.53689957",US,
05LA,Greg's Flying Service Airport,"-91.69779968, 32.26530075",US,
05LL,Midwest Heliport,"-87.93509674, 41.74890137",US,
05LS,Grass Roots Airport,"-92.47579956, 31.25219917",US,
05M,Pauls Valley General Hospital Heliport,"-97.21399689, 34.71969986",US,
05MA,Bentley Heliport,"-70.91230011, 42.69120026",US,
05MD,Breezecroft Airport,"-76.2052002, 39.25009918",US,
05ME,Drisko Airport,"-67.55919647, 44.6570015",US,
05MO,Portageville Community Heliport,"-89.68009949, 36.42979813",US,
05MS,Va Medical Center Jackson Heliport,"-90.16809845, 32.31890106",US,
05NC,Brunswick Community Hospital Heliport,"-78.29109955, 34.0080986",US,
05NE,Mc Kay Airport,"-98.30899811, 41.72219849",US,
05NH,Stumpfield Heliport,"-70.95140076, 42.9239006",US,
05NJ,Paulus Hook Pier Heliport,"-74.03150177, 40.7140007",US,
05NY,Oswego County At Pulaski Heliport,"-76.09020233, 43.55199814",US,
05OI,Dorlon Airpark,"-81.96260071, 41.28839874",US,
05OK,Hawk Haven Airport,"-97.56749725, 35.85340118",US,
05OR,Peacock Ranch Airport,"-117.3509979, 45.44150162",US,
05PA,Philadelphia Market Street Heliport,"-75.17819977, 39.95479965",US,
05PN,State Police Area Iii Heliport,"-76.85800171, 40.30009842",US,
05PS,Mills Brothers Airport,"-77.86190033, 40.14279938",US,
05S,Vernonia Airfield,"-123.2419968, 45.85150146",US,
05TA,Brandes Air Field,"-96.26509857, 29.8090992",US,
05TE,Hilde-Griff Field,"-97.79139709, 30.7220993",US,
05TN,Thurmond Glenn Field,"-89.55290222, 35.55699921",US,
05TS,Dew Drop Airport,"-97.3585968, 33.12929916",US,
05TX,Circle 'A' Ranch Airport,"-97.40419769, 32.12919998",US,
05UT,Oljato Airport,"-110.3170013, 37.03329849",US,
05V,Blanca Airport,"-105.552002, 37.41109848",US,
05VA,Providence Airport,"-78.41860199, 37.2242012",US,
05VT,Port of Highgate Springs Heliport,"-73.08670044, 45.01330185",US,
05WA,Sacred Heart Medical Center Helistop,"-117.4140015, 47.64820099",US,
05WI,Ames Private Airport,"-88.74590302, 42.65110016",US,
05WN,Flat Creek Field,"-118.0475, 48.702222",US,
05XS,Johnson Memorial Airport,"-91.54319763, 33.07929993",US,
05Y,Henning Municipal Airport,"-95.4394989, 46.30379868",US,
06AK,June Lake Airpark,"-149.575331, 61.627619",US,
06AL,Brown Stagefield Army Heliport,"-85.97239685, 31.38839912",US,
06AR,Bondair Airport,"-92.18489838, 35.54449844",US,
06AZ,Mercy Gilbert Medical Center Heliport,"-111.7529984, 33.28580093",US,
06B,Lucky Landing Marina and Seaplane Base,"-68.80500031, 44.9070015",US,
06CA,Sce Solar I Heliport,"-116.8339996, 34.87080002",US,
06CL,Abc7-Tv Heliport,"-118.2890015, 35.15719986",US,
06CO,Jecan Airport,"-103.6910019, 37.38750076",US,
06FA,William P Gwinn Airport,"-80.3289032, 26.90839958",US,
06FD,Grass Roots Airpark,"-81.88500214, 28.64170074",US,
06FL,Morton Plant Hospital Heliport,"-82.8042984, 27.95339966",US,
06GA,Smith Heliport,"-84.16210175, 33.7533989",US,
06I,Patoka Reservoir Landing Area Seaplane Base,"-86.69110107, 38.4333992",US,
06IA,Rich Field,"-91.83429718, 41.84140015",US,
06ID,Larkin Airport,"-116.3590012, 43.46269989",US,
06IL,Humm Airport,"-88.86990356, 41.59949875",US,
06IN,Ellis Fly-In Airport,"-87.3035965, 39.28279877",US,
06IS,Sinele Strip,"-91.27429962, 40.54639816",US,
06KS,Riverside Hospital Airlift Heliport,"-97.37249756, 37.69580078",US,
06KY,Falcon Heliport,"-83.34519958, 37.52590179",US,
06LA,Panther Helicopters Inc Heliport,"-90.02780151, 29.84600067",US,
06LL,Hammersmith Heliport,"-88.49690247, 41.87360001",US,
06LS,Tembec Heliport,"-91.32019806, 30.70789909",US,
06MA,The Barn Heliport,"-71.60900116, 42.69060135",US,
06MD,Bayview Heliport,"-76.5463028, 39.29140091",US,
06MI,W A Foote Memorial Hospital Heliport,"-84.3914032, 42.25109863",US,
06MN,Pike Field Airport,"-92.41670227, 47.65190125",US,
06MO,Noahs Ark Airport,"-94.80439758, 39.23059845",US,
06MT,Torgerson Airport,"-112.1090012, 48.55830002",US,
06N,Randall Airport,"-74.39160156, 41.43199921",US,
06NC,Tailwinds Airport,"-78.93029785, 34.82749939",US,
06ND,Fitterer's Strip,"-101.6689987, 46.74890137",US,
06NE,St Marys Hospital Heliport,"-95.86170197, 40.68000031",US,
06NH,Cole Farm Airport,"-70.97309875, 42.92839813",US,
06NJ,Chemical Bank - New Jersey Na Heliport,"-74.99960327, 39.95009995",US,
06NY,Murphy Field,"-76.44529724, 42.84280014",US,
06O1,Saint Elizabeth Medical Center Heliport,"-80.65699768, 41.1147995",US,
06OH,Hal Joy Airfield,"-80.59120178, 41.50979996",US,
06OI,Green Acres Airport,"-84.38220215, 39.73479843",US,
06OK,Albert Lodge Heliport,"-94.83360291, 36.54169846",US,
06OR,Hayden Mountain Airport,"-123.0800018, 45.46509933",US,
06PA,Freefall Oz Airport,"-78.25810242, 42.00839996",US,
06PN,Schiavoni Heliport,"-76.772533, 40.382733",US,
06PS,Cherokee Island Castle Heliport,"-79.9213028, 40.40230179",US,
06R,Grawunder Field,"-96.24610138, 29.94190025",US,
06SN,Beyer Farm Airport,"-97.25309753, 37.58390045",US,
06TA,Glaser Field,"-97.11689758, 30.90850067",US,
06TE,Ainsworth Airport,"-95.02690125, 30.31270027",US,
06TN,Hunter STOLport,"-86.95690155, 35.69729996",US,
06TS,Roscoe Mc Connico Airport,"-96.17910004, 32.12070084",US,
06TX,Diamond N Ranch Airport,"-95.81289673, 30.05760002",US,
06VA,Mount Horeb Field,"-78.8553009, 38.24900055",US,
06WA,N A Degerstrom Yard Heliport,"-117.197998, 47.68629837",US,
06WI,Young Private Airport,"-92.45020294, 45.66270065",US,
06WN,Western Airpark,"-122.5530014, 46.92499924",US,
06XS,Campbell Field,"-97.04419708, 33.3246994",US,
06Y,Herman Municipal Airport,"-96.16059875, 45.83000183",US,
07AL,Tac X Stagefield Army Heliport,"-85.97910309, 31.12520027",US,
07AR,Morrilton Airport,"-92.80020142, 35.19449997",US,
07AZ,John C Lincoln Hospital Heliport,"-112.0690002, 33.56669998",US,
07B,Blue Hill Airport,"-68.56970215, 44.44800186",US,
07CA,West Side Hospital Heliport,"-119.4509964, 35.13890076",US,
07CL,Richvale Airport,"-121.7710037, 39.49769974",US,
07CO,Comanche Creek Airport,"-104.427002, 39.2635994",US,
07CT,Tnt Heliport,"-72.24960327, 41.45289993",US,
07D,Tackaberry Airport,"-82.72380066, 43.0644989",US,
07FA,Ocean Reef Club Airport,"-80.27480316, 25.3253994",US,
07FD,Flying G Ranch STOLport,"-83.28379822, 30.41799927",US,
07FL,Southwest Florida Regional Medical Center Heliport,"-81.85949707, 26.60540009",US,
